date,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,US,United States of America,AMRO,0,0,0,0
2020-01-04,US,United States of America,AMRO,0,0,0,0
2020-01-05,US,United States of America,AMRO,0,0,0,0
2020-01-06,US,United States of America,AMRO,0,0,0,0
2020-01-07,US,United States of America,AMRO,0,0,0,0
2020-01-08,US,United States of America,AMRO,0,0,0,0
2020-01-09,US,United States of America,AMRO,0,0,0,0
2020-01-10,US,United States of America,AMRO,0,0,0,0
2020-01-11,US,United States of America,AMRO,0,0,0,0
2020-01-12,US,United States of America,AMRO,0,0,0,0
2020-01-13,US,United States of America,AMRO,0,0,0,0
2020-01-14,US,United States of America,AMRO,0,0,0,0
2020-01-15,US,United States of America,AMRO,0,0,0,0
2020-01-16,US,United States of America,AMRO,0,0,0,0
2020-01-17,US,United States of America,AMRO,0,0,0,0
2020-01-18,US,United States of America,AMRO,0,0,0,0
2020-01-19,US,United States of America,AMRO,0,0,0,0
2020-01-20,US,United States of America,AMRO,5,5,0,0
2020-01-21,US,United States of America,AMRO,0,5,0,0
2020-01-22,US,United States of America,AMRO,0,5,0,0
2020-01-23,US,United States of America,AMRO,0,5,0,0
2020-01-24,US,United States of America,AMRO,31,36,0,0
2020-01-25,US,United States of America,AMRO,1,37,0,0
2020-01-26,US,United States of America,AMRO,1,38,0,0
2020-01-27,US,United States of America,AMRO,3,41,0,0
2020-01-28,US,United States of America,AMRO,3,44,0,0
2020-01-29,US,United States of America,AMRO,1,45,0,0
2020-01-30,US,United States of America,AMRO,1,46,0,0
2020-01-31,US,United States of America,AMRO,1,47,0,0
2020-02-01,US,United States of America,AMRO,2,49,0,0
2020-02-02,US,United States of America,AMRO,4,53,0,0
2020-02-03,US,United States of America,AMRO,3,56,0,0
2020-02-04,US,United States of America,AMRO,1,57,0,0
2020-02-05,US,United States of America,AMRO,7,64,0,0
2020-02-06,US,United States of America,AMRO,1,65,0,0
2020-02-07,US,United States of America,AMRO,1,66,0,0
2020-02-08,US,United States of America,AMRO,0,66,0,0
2020-02-09,US,United States of America,AMRO,1,67,0,0
2020-02-10,US,United States of America,AMRO,1,68,0,0
2020-02-11,US,United States of America,AMRO,2,70,0,0
2020-02-12,US,United States of America,AMRO,1,71,0,0
2020-02-13,US,United States of America,AMRO,2,73,0,0
2020-02-14,US,United States of America,AMRO,1,74,0,0
2020-02-15,US,United States of America,AMRO,2,76,0,0
2020-02-16,US,United States of America,AMRO,3,79,0,0
2020-02-17,US,United States of America,AMRO,2,81,0,0
2020-02-18,US,United States of America,AMRO,0,81,0,0
2020-02-19,US,United States of America,AMRO,6,87,0,0
2020-02-20,US,United States of America,AMRO,0,87,0,0
2020-02-21,US,United States of America,AMRO,1,88,0,0
2020-02-22,US,United States of America,AMRO,2,90,0,0
2020-02-23,US,United States of America,AMRO,9,99,0,0
2020-02-24,US,United States of America,AMRO,2,101,0,0
2020-02-25,US,United States of America,AMRO,1,102,0,0
2020-02-26,US,United States of America,AMRO,4,106,0,0
2020-02-27,US,United States of America,AMRO,5,111,0,0
2020-02-28,US,United States of America,AMRO,4,115,0,0
2020-02-29,US,United States of America,AMRO,11,126,1,1
2020-03-01,US,United States of America,AMRO,8,134,0,1
2020-03-02,US,United States of America,AMRO,19,153,1,2
2020-03-03,US,United States of America,AMRO,24,177,0,2
2020-03-04,US,United States of America,AMRO,41,218,5,7
2020-03-05,US,United States of America,AMRO,38,256,3,10
2020-03-06,US,United States of America,AMRO,44,300,1,11
2020-03-07,US,United States of America,AMRO,81,381,2,13
2020-03-08,US,United States of America,AMRO,78,459,2,15
2020-03-09,US,United States of America,AMRO,98,557,5,20
2020-03-10,US,United States of America,AMRO,191,748,4,24
2020-03-11,US,United States of America,AMRO,301,1049,7,31
2020-03-12,US,United States of America,AMRO,374,1423,5,36
2020-03-13,US,United States of America,AMRO,368,1791,12,48
2020-03-14,US,United States of America,AMRO,532,2323,7,55
2020-03-15,US,United States of America,AMRO,443,2766,8,63
2020-03-16,US,United States of America,AMRO,536,3302,12,75
2020-03-17,US,United States of America,AMRO,1381,4683,23,98
2020-03-18,US,United States of America,AMRO,1055,5738,18,116
2020-03-19,US,United States of America,AMRO,3108,8846,31,147
2020-03-20,US,United States of America,AMRO,3765,12611,67,214
2020-03-21,US,United States of America,AMRO,5045,17656,57,271
2020-03-22,US,United States of America,AMRO,3743,21399,70,341
2020-03-23,US,United States of America,AMRO,6037,27436,83,424
2020-03-24,US,United States of America,AMRO,9032,36468,81,505
2020-03-25,US,United States of America,AMRO,11224,47692,151,656
2020-03-26,US,United States of America,AMRO,10786,58478,206,862
2020-03-27,US,United States of America,AMRO,14073,72551,275,1137
2020-03-28,US,United States of America,AMRO,17135,89686,267,1404
2020-03-29,US,United States of America,AMRO,18547,108233,450,1854
2020-03-30,US,United States of America,AMRO,19444,127677,459,2313
2020-03-31,US,United States of America,AMRO,18136,145813,331,2644
2020-04-01,US,United States of America,AMRO,22395,168208,511,3155
2020-04-02,US,United States of America,AMRO,22834,191042,752,3907
2020-04-03,US,United States of America,AMRO,27357,218399,912,4819
2020-04-04,US,United States of America,AMRO,25982,244381,970,5789
2020-04-05,US,United States of America,AMRO,35131,279512,1067,6856
2020-04-06,US,United States of America,AMRO,30593,310105,1157,8013
2020-04-07,US,United States of America,AMRO,25511,335616,1364,9377
2020-04-08,US,United States of America,AMRO,42604,378220,3243,12620
2020-04-09,US,United States of America,AMRO,21975,400195,674,13294
2020-04-10,US,United States of America,AMRO,31714,431909,1958,15252
2020-04-11,US,United States of America,AMRO,31215,463124,2343,17595
2020-04-12,US,United States of America,AMRO,34595,497719,1640,19235
2020-04-13,US,United States of America,AMRO,32364,530083,1971,21206
